username,followers,followings,has_biography,is_private,has_name,posts,has_profile_picture,bio_lenght,following_to_follower_ratio,following_to_post_ratio,follower_to_post_ratio,name_only_alphabet,LCSofNameAndUsername_to_name_ratio,number_in_username_ratio,is_fake
soolsool1029,357,5019,0,0,1,0,0,0,14.05882353,1.00E+12,1.00E+12,0,0.1,0.333333333,1
morteza.n758,353,2712,0,0,1,0,0,0,7.682719547,1.00E+12,1.00E+12,0,0.777777778,0.25,1
s_71.lovep,67,1075,0,0,1,0,0,0,16.04477612,1.00E+12,1.00E+12,1,0.25,0.2,1
tanghaye_shahrak,16,3369,0,1,1,0,0,0,210.5625,1.00E+12,1.00E+12,0,0.333333333,0,1
hamadahamada8787,64,4176,0,0,1,0,0,0,65.25,1.00E+12,1.00E+12,1,1,0.25,1
sigaro.pigaro,31,2736,0,0,1,0,0,0,88.25806452,1.00E+12,1.00E+12,0,0.461538462,0,1
ede.1980bbb,65,3450,0,0,1,0,0,0,53.07692308,1.00E+12,1.00E+12,1,0.25,0.363636364,1
ufc5760,14,1197,0,0,1,0,0,0,85.5,1.00E+12,1.00E+12,1,1,0.571428571,1
najat1998jojo,28,3110,0,0,1,0,0,0,111.0714286,1.00E+12,1.00E+12,1,0.25,0.307692308,1
ghaithamer142,26,3368,0,0,1,0,0,0,129.5384615,1.00E+12,1.00E+12,0,0.125,0.230769231,1
aymen16662019,47,4712,0,0,1,0,0,0,100.2553191,1.00E+12,1.00E+12,0,1,0.615384615,1
vncvgf,15,1162,0,0,1,0,0,0,77.46666667,1.00E+12,1.00E+12,1,0,0,1
dt.i90,51,3895,0,0,1,0,0,0,76.37254902,1.00E+12,1.00E+12,1,0.2,0.333333333,1
aya121241,28,4069,0,0,1,0,0,0,145.3214286,1.00E+12,1.00E+12,0,0,0.666666667,1
dhcgwnv,25,831,0,0,1,0,0,0,33.24,1.00E+12,1.00E+12,1,0.166666667,0,1
alamre7011,113,5833,0,0,1,0,0,0,51.61946903,1.00E+12,1.00E+12,1,0,0.4,1
toto.yoyo123,35,3858,0,0,1,0,0,0,110.2285714,1.00E+12,1.00E+12,0,0.5,0.25,1
